key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
meetingId,Translation key: meetingId,meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),,,ID de reunión,meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),شناسه جلسه: {id},meetingId (TRANSLATE),meetingId (TRANSLATE),ID de réunion,meetingId (TRANSLATE),meetingId (TRANSLATE),ID na taro: {id},מזהה פגישה,मीटिंग आईडी: {id},meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),ID Riunione,meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE),ملاقات کی شناخت: {id},meetingId (TRANSLATE),meetingId (TRANSLATE),meetingId (TRANSLATE)
meetingIdMeetingid,Translation key: meetingIdMeetingid,,,,,,,,,,,,Meeting ID: $meetingId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meetingReadyMessage,Translation key: meetingReadyMessage,ስብሰባው ዝግጅት ተጠናቋል,الاجتماع جاهز,Срещата е готова,মিটিং প্রস্তুত! আপনি কি এটি আপনার গ্রুপে পাঠাতে চান?,[BN_BD] Your meeting is ready! Join now,[BS] Your meeting is ready! Join now,Reunió preparada,Schůzka připravena,Cyfarfod yn barod,Møde er klar,Meeting-Bereitschaftsnachricht,Your meeting is ready! Join now,Mensaje de reunión lista,[ES_419] Your meeting is ready! Join now,[ET] Your meeting is ready! Join now,Bilera prest dago,جلسه آماده است! می‌خواهید آن را برای گروه ارسال کنید؟,Kokous valmis,Fundur klárur,Message de réunion prête,[GA] Your meeting is ready! Join now,[GL] Your meeting is ready! Join now,An shirya taro! Kuna son a tura shi zuwa rukunin ku?,[HE] Your meeting is ready! Join now,मीटिंग तैयार है! क्या आप इसे अपने समूह को भेजना चाहते हैं?,Sastanak spreman,Találkozó készen áll,Pertemuan siap,[IS] Your meeting is ready! Join now,[IT] Your meeting is ready! Join now,[JA] Your meeting is ready! Join now,[KO] Your meeting is ready! Join now,[LT] Your meeting is ready! Join now,[LV] Your meeting is ready! Join now,[MK] Your meeting is ready! Join now,[MS] Your meeting is ready! Join now,[MT] Your meeting is ready! Join now,[NL] Your meeting is ready! Join now,[NO] Your meeting is ready! Join now,[PL] Your meeting is ready! Join now,[PT] Your meeting is ready! Join now,[PT_BR] Your meeting is ready! Join now,[RO] Your meeting is ready! Join now,[RU] Your meeting is ready! Join now,[SK] Your meeting is ready! Join now,[SL] Your meeting is ready! Join now,[SQ] Your meeting is ready! Join now,[SR] Your meeting is ready! Join now,[SV] Your meeting is ready! Join now,[TH] Your meeting is ready! Join now,[TR] Your meeting is ready! Join now,[UK] Your meeting is ready! Join now,ملاقات تیار ہے! کیا آپ اسے اپنے گروپ کو بھیجنا چاہتے ہیں؟,[VI] Your meeting is ready! Join now,您的会议已准备就绪！立即加入,會議已就緒！是否要發送給您的群組？
meetingSharedSuccessfully,Translation key: meetingSharedSuccessfully,ስብሰባ በትክክል ተካፋፈለ,تم مشاركة الاجتماع بنجاح,Срещата беше споделена успешно,মিটিং সফলভাবে শেয়ার করা হয়েছে!,মিটিং সফলভাবে শেয়ার করা হয়েছে,[BS] Meeting shared successfully,Reunió compartida amb èxit,Schůzka úspěšně sdílena,Cyfarfod wedi ei rannu yn llwyddiannus,Møde delt med succes,Meeting erfolgreich geteilt,Meeting shared successfully,Reunión compartida exitosamente,[ES_419] Meeting shared successfully,[ET] Meeting shared successfully,[EU] Meeting shared successfully,جلسه با موفقیت به اشتراک گذاشته شد!,[FI] Meeting shared successfully,Fundur deildur eydnulega,Réunion partagée avec succès,[GA] Meeting shared successfully,[GL] Meeting shared successfully,An raba taron cikin nasara!,מפגש שותף בהצלחה,मीटिंग सफलतापूर्वक साझा की गई!,Sastanak je uspješno podijeljen,Találkozó sikeresen megosztva,[ID] Meeting shared successfully,Fundur deildur með góðum árangri,[IT] Meeting shared successfully,ミーティングが正常に共有されました,미팅이 성공적으로 공유되었습니다,[LT] Meeting shared successfully,Tikšanās veiksmīgi kopīgota!,[MK] Meeting shared successfully,[MS] Meeting shared successfully,[MT] Meeting shared successfully,[NL] Meeting shared successfully,Møte delt vellykket,[PL] Meeting shared successfully,Reunião compartilhada com sucesso,Reunião compartilhada com sucesso,[RO] Meeting shared successfully,Встреча успешно поделена,Stretnutie úspešne zdieľané,Srečanje uspešno deljeno,[SQ] Meeting shared successfully,[SR] Meeting shared successfully,[SV] Meeting shared successfully,แชร์การประชุมสำเร็จ,[TR] Meeting shared successfully,Зустріч успішно поділена,ملاقات کامیابی سے شیئر کی گئی!,Chia sẻ cuộc họp thành công,会议分享成功,會議已成功分享！
meetingSharedSuccessfully1,Translation key: meetingSharedSuccessfully1,,,,,,,,,,,,Meeting shared successfully!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
members,Translation key: members,members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),,,Miembros,members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),{count} عضو,members (TRANSLATE),members (TRANSLATE),Membres,members (TRANSLATE),members (TRANSLATE),mambobi: {count},members (TRANSLATE),{count} सदस्य,members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),members (TRANSLATE),{count} اراکین,members (TRANSLATE),members (TRANSLATE),members (TRANSLATE)
menu,Translation key: menu,,,,,,,,,,,,Menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
messageSavedSuccessfully,Translation key: messageSavedSuccessfully,መልዕክት በትክክል ተቀመጠ,تم حفظ الرسالة بنجاح,Съобщението беше запазено успешно,বার্তা সফলভাবে সংরক্ষিত হয়েছে,বার্তা সফলভাবে সংরক্ষণ করা হয়েছে,[BS] Message saved successfully,[CA] Message saved successfully,[CS] Message saved successfully,Neges wedi ei gadw'n llwyddiannus,Besked gemt med succes,Nachricht erfolgreich gespeichert,Message saved successfully,Mensaje guardado exitosamente,[ES_419] Message saved successfully,[ET] Message saved successfully,[EU] Message saved successfully,پیام با موفقیت ذخیره شد,[FI] Message saved successfully,Boð fyriskipa eydnulega,Message enregistré avec succès,[GA] Message saved successfully,[GL] Message saved successfully,Saƙon an ajiye cikin nasara,ההודעה נשמרה בהצלחה,संदेश सफलतापूर्वक सहेजा गया,[HR] Message saved successfully,Üzenet sikeresen mentve,Pesan berhasil disimpan,Skilaboð vistuð með góðum árangri,[IT] Message saved successfully,メッセージが正常に保存されました,[KO] Message saved successfully,[LT] Message saved successfully,Ziņojums veiksmīgi saglabāts!,[MK] Message saved successfully,Mesej berjaya disimpan,[MT] Message saved successfully,Bericht succesvol opgeslagen,[NO] Message saved successfully,Wiadomość zapisana pomyślnie,[PT] Message saved successfully,Mensagem salva com sucesso,[RO] Message saved successfully,Сообщение успешно сохранено,Správa úspešne uložená,[SL] Message saved successfully,[SQ] Message saved successfully,[SR] Message saved successfully,[SV] Message saved successfully,บันทึกข้อความสำเร็จ,Mesaj başarıyla kaydedildi,Повідомлення успішно збережено,پیغام کامیابی سے محفوظ ہو گیا,[VI] Message saved successfully,消息保存成功,訊息已成功儲存
messageSentSuccessfully,Translation key: messageSentSuccessfully,መልዕክት በትክክል ተልኳል,تم إرسال الرسالة بنجاح,Съобщението беше изпратено успешно,বার্তা সফলভাবে পাঠানো হয়েছে,বার্তাটি সফলভাবে পাঠানো হয়েছে,[BS] Message sent successfully,[CA] Message sent successfully,[CS] Message sent successfully,[CY] Message sent successfully,Besked sendt med succes,Nachricht erfolgreich gesendet,Message sent successfully,Mensaje enviado exitosamente,[ES_419] Message sent successfully,Sõnum saadetud edukalt,[EU] Message sent successfully,پیام با موفقیت ارسال شد,[FI] Message sent successfully,Boðskapi sent við eydnu,Message envoyé avec succès,[GA] Message sent successfully,[GL] Message sent successfully,Saƙon an aika cikin nasara,ההודעה נשלחה בהצלחה,संदेश सफलतापूर्वक भेजा गया,[HR] Message sent successfully,Üzenet sikeresen elküldve,Pesan berhasil terkirim,Skilaboð send með góðum árangri,[IT] Message sent successfully,メッセージが正常に送信されました,메시지가 성공적으로 전송되었습니다,[LT] Message sent successfully,Ziņojums veiksmīgi nosūtīts,[MK] Message sent successfully,Mesej berjaya dihantar,[MT] Message sent successfully,[NL] Message sent successfully,[NO] Message sent successfully,Wiadomość wysłana pomyślnie,Mensagem enviada com sucesso,Mensagem enviada com sucesso,Mesaj trimis cu succes,Сообщение успешно отправлено,Správa bola úspešne odoslaná,[SL] Message sent successfully,[SQ] Message sent successfully,[SR] Message sent successfully,[SV] Message sent successfully,ส่งข้อความสำเร็จ,Mesaj başarıyla gönderildi,Повідомлення успішно надіслано,پیغام کامیابی سے بھیجا گیا,[VI] Message sent successfully,消息发送成功,訊息已成功發送
messages,Translation key: messages,,,,,,,,,,,,Messages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monetizationSettings,Translation key: monetizationSettings,,,,,,,,,,,,Monetization Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monetizationSettingsWillBeImplementedHere,Translation key: monetizationSettingsWillBeImplementedHere,,,,,,,,,,,,Monetization settings will be implemented here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multipleChoice,Translation key: multipleChoice,,,,,,,,,,,,Multiple Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myInvites,Translation key: myInvites,ግብዣዎቼ,دعواتي,Моите покани,আমার আমন্ত্রণ,[BN_BD] My Invites,[BS] My Invites,[CA] My Invites,Moje pozvánky,Fy nghwahoddiadau,[DA] My Invites,Meine Einladungen,My Invites,Mis invitaciones,[ES_419] My Invites,[ET] My Invites,[EU] My Invites,دعوت‌نامه‌های من,Kutsuni,Mín boð,Mes invitations,Mo cuireadh,[GL] My Invites,Gayyatar da na samu,[HE] My Invites,मेरे निमंत्रण,Moje pozivnice,Meghívásaim,Undangan saya,Boðskrár mínar,[IT] My Invites,[JA] My Invites,[KO] My Invites,[LT] My Invites,[LV] My Invites,[MK] My Invites,[MS] My Invites,[MT] My Invites,[NL] My Invites,[NO] My Invites,[PL] My Invites,[PT] My Invites,[PT_BR] My Invites,[RO] My Invites,[RU] My Invites,[SK] My Invites,[SL] My Invites,[SQ] My Invites,[SR] My Invites,[SV] My Invites,[TH] My Invites,[TR] My Invites,[UK] My Invites,میرے دعوت نامے,[VI] My Invites,我的邀请,我的邀請
myInvites1,Translation key: myInvites1,,,,,,,,,,,,My Invites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myProfile,Translation key: myProfile,መገለጫዬ,ملفي الشخصي,Моят профил,আমার প্রোফাইল,আমার প্রোফাইল,[BS] My Profile,El meu perfil,[CS] My Profile,[CY] My Profile,[DA] My Profile,Mein Profil,My Profile,Mi perfil,[ES_419] My Profile,[ET] My Profile,[EU] My Profile,پروفایل من,[FI] My Profile,My Profile,Mon profil,Mo phróifíl,[GL] My Profile,Bayana,הפרופיל שלי,मेरी प्रोफ़ाइल,[HR] My Profile,[HU] My Profile,[ID] My Profile,Mín prófíl,[IT] My Profile,マイプロフィール,내 프로필,[LT] My Profile,[LV] My Profile,[MK] My Profile,[MS] My Profile,[MT] My Profile,[NL] My Profile,[NO] My Profile,[PL] My Profile,[PT] My Profile,Meu perfil,[RO] My Profile,Мой профиль,[SK] My Profile,[SL] My Profile,[SQ] My Profile,[SR] My Profile,[SV] My Profile,โปรไฟล์ของฉัน,[TR] My Profile,Мій профіль,میری پروفائل,Hồ sơ của tôi,我的资料,我的個人資料
myProfile1,Translation key: myProfile1,,,,,,,,,,,,My Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mySchedule,Translation key: mySchedule,,,,,,,,,,,,My Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nameProfilename,Translation key: nameProfilename,,,,,,,,,,,,Name: {profile_name},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newNotificationPayloadtitle,Translation key: newNotificationPayloadtitle,,,,,,,,,,,,New notification: {payload_title},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
next,Translation key: next,ቀጣይ,التالي,Напред,পরবর্তী,পরবর্তী,[BS] Next,Següent,Další,Nesaf,Næste,Weiter,Next,Siguiente,[ES_419] Next,[ET] Next,Hurrengoa,بعدی,Seuraava,Næsta,Suivant,Ar Aghaidh,[GL] Next,Gaba,הבא,अगला,Sljedeće,Következő,Berikutnya,Næsta,Avanti,次へ,다음,[LT] Next,Tālāk,[MK] Next,Seterusnya,[MT] Next,Volgende,Neste,Dalej,Próximo,Próximo,[RO] Next,Далее,Ďalej,Naslednje,[SQ] Next,[SR] Next,Nästa,ถัดไป,[TR] Next,Далі,اگلا,[VI] Next,下一步,下一步
next1,Translation key: next1,,,,,,,,,,,,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,Translation key: no,አይ,لا,Не,না,না,[BS] No,No,Ne,Na,Nej,Nein,No,No,[ES_419] No,Ei,Ez,خیر,Ei,Nei,Non,Níl,[GL] No,A'a,לא,नहीं,Ne,Nem,Tidak,Nei,No,いいえ,아니요,[LT] No,Nē,[MK] No,Tidak,[MT] No,Nee,Nei,Nie,Não,Não,Nu,Нет,Nie,Ne,[SQ] No,[SR] No,Nej,ไม่,Hayır,Ні,نہیں,Không,否,否
noAmbassadorDataAvailable,Translation key: noAmbassadorDataAvailable,,,,,,,,,,,,No ambassador data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noAnalyticsDataAvailableYet,Translation key: noAnalyticsDataAvailableYet,,,,,,,,,,,,No analytics data available yet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noAppointmentRequestsFound,Translation key: noAppointmentRequestsFound,,,,,,,,,,,,No appointment requests found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noAppointments,Translation key: noAppointments,,,,,,,,,,,,No appointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noAppointmentsFound,Translation key: noAppointmentsFound,,,,,,,,,,,,No appointments found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noAvailableSlots,Translation key: noAvailableSlots,,,,,,,,,,,,No available slots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noBookingsFound,Translation key: noBookingsFound,,,,,,,,,,,,No bookings found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noBranchesAvailable,Translation key: noBranchesAvailable,,,,,,,,,,,,No branches available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noBroadcastMessages,Translation key: noBroadcastMessages,የስርጭት መልዕክቶች የሉም,لا توجد رسائل بث,Няма съобщения за излъчване,এখনও কোনো সম্প্রচার বার্তা নেই,কোনও সম্প্রচার বার্তা নেই,[BS] No messages yet,[CA] No messages yet,Žádné vysílací zprávy,[CY] No messages yet,[DA] No messages yet,Keine Rundnachrichten,No messages yet,Sin mensajes de difusión,[ES_419] No messages yet,[ET] No messages yet,Ez dago mezu-emisioik,هنوز پیامی برای پخش وجود ندارد,Ei lähetettyjä viestejä,No messages yet,Aucun message de diffusion,Gan teachtaireachtaí craolta,[GL] No messages yet,Babu saƙonnin faɗaɗa tukuna,אין הודעות שידור,अभी तक कोई प्रसारण संदेश नहीं हैं,[HR] No messages yet,[HU] No messages yet,Tidak ada pesan siaran,[IS] No messages yet,[IT] No messages yet,放送メッセージなし,아직 메시지가 없습니다,[LT] No messages yet,Nav pārraides ziņojumu,[MK] No messages yet,Tiada mesej siaran,[MT] No messages yet,Geen uitzendberichten,[NO] No messages yet,Brak wiadomości broadcast,[PT] No messages yet,Sem mensagens de transmissão,Fără mesaje broadcast,Нет трансляционных сообщений,Žiadne vysielacie správy,[SL] No messages yet,[SQ] No messages yet,[SR] No messages yet,[SV] No messages yet,ไม่มีข้อความออกอากาศ,Yayın mesajı yok,Немає трансляційних повідомлень,ابھی تک کوئی نشریاتی پیغام نہیں,[VI] No messages yet,暂无广播消息,尚無廣播訊息
noChartDataAvailable,Translation key: noChartDataAvailable,,,,,,,,,,,,No chart data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noClientsFoundAddYourFirstClient,Translation key: noClientsFoundAddYourFirstClient,,,,,,,,,,,,No clients found. Add your first client!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noContentAvailableYet,Translation key: noContentAvailableYet,,,,,,,,,,,,No content available yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noEvents,Translation key: noEvents,,,,,,,,,,,,No events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noEventsScheduledForToday,Translation key: noEventsScheduledForToday,,,,,,,,,,,,No events scheduled for today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noEventsScheduledThisMonth,Translation key: noEventsScheduledThisMonth,,,,,,,,,,,,No events scheduled this month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noEventsScheduledThisWeek,Translation key: noEventsScheduledThisWeek,,,,,,,,,,,,No events scheduled this week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noExternalMeetingsFound,Translation key: noExternalMeetingsFound,,,,,,,,,,,,No external meetings found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noFamilyMembersYet,Translation key: noFamilyMembersYet,እስካሁን የቤተሰብ አባላት የሉም,لا يوجد أعضاء عائلة بعد,Все още няма членове на семейството,এখনও কোনো পরিবার সদস্য নেই। শুরু করতে কাউকে আমন্ত্রণ জানান!,পরিবারের কোনও সদস্য নেই,[BS] No family members yet,Encara no hi ha membres de la família,[CS] No family members yet,[CY] No family members yet,[DA] No family members yet,Noch keine Familienmitglieder,No family members yet,Aún no hay miembros de la familia,[ES_419] No family members yet,Pereliikmeid pole veel,[EU] No family members yet,هنوز هیچ عضو خانواده‌ای اضافه نشده است. برای شروع کسی را دعوت کنید!,Ei perheenjäseniä,No family members yet,Aucun membre de la famille pour le moment,Níl baill teaghlaigh fós,[GL] No family members yet,Babu membobin iyali tukuna. Aika gayyata don farawa!,אין עדיין חברי משפחה,अभी तक कोई परिवार सदस्य नहीं है। शुरू करने के लिए किसी को आमंत्रित करें!,Još nema članova obitelji,[HU] No family members yet,Belum ada anggota keluarga,Engir fjölskyldumeðlimir enn,[IT] No family members yet,まだ家族メンバーがいません,[KO] No family members yet,[LT] No family members yet,Vēl nav ģimenes locekļu,[MK] No family members yet,Tiada ahli keluarga lagi,[MT] No family members yet,[NL] No family members yet,[NO] No family members yet,[PL] No family members yet,[PT] No family members yet,[PT_BR] No family members yet,Fără membri de familie,Членов семьи пока нет,[SK] No family members yet,[SL] No family members yet,[SQ] No family members yet,[SR] No family members yet,[SV] No family members yet,ยังไม่มีสมาชิกในครอบครัว,Henüz aile üyesi yok,Немає членів родини,ابھی تک کوئی خاندانی رکن نہیں۔ شروع کرنے کے لیے کسی کو مدعو کریں!,Chưa có thành viên gia đình,暂无家庭成员,尚無家庭成員。邀請多人開始使用吧！
noGamesYet,Translation key: noGamesYet,እስካሁን ጨዋታዎች የሉም,لا توجد ألعاب بعد,Все още няма игри,এখনও কোনো গেম নেই,এখনও কোনও গেম নেই,[BS] No games yet,Encara no hi ha jocs,Ještě žádné hry,[CY] No games yet,[DA] No games yet,[DE] No games yet,No games yet,[ES] No games yet,[ES_419] No games yet,Mänge pole veel,[EU] No games yet,هنوز هیچ بازی نیست,Pelejä ei ole vielä,No games yet,[FR] No games yet,Níl cluichí fós,[GL] No games yet,No games yet,טרם קיימו משחקים,अभी तक कोई गेम नहीं,Još nema igara,[HU] No games yet,Belum ada game,Engir leikir enn,[IT] No games yet,まだゲームはありません,아직 게임이 없습니다,[LT] No games yet,[LV] No games yet,[MK] No games yet,[MS] No games yet,[MT] No games yet,Nog geen spellen,[NO] No games yet,Brak gier,[PT] No games yet,[PT_BR] No games yet,Încă nu există jocuri,Игр пока нет,Žiadne hry,Še ni iger,[SQ] No games yet,[SR] No games yet,[SV] No games yet,ยังไม่มีเกม,Henüz oyun yok,Ігор поки що немає,No games yet,Chưa có trò chơi,暂无游戏,No games yet
noInvites,Translation key: noInvites,ግብዣዎች የሉም,لا توجد دعوات,Няма покани,কোন আমন্ত্রণ নেই,কোনও আমন্ত্রণ নেই,[BS] No invites,[CA] No invites,Žádné pozvánky,Dim gwahoddiadau,[DA] No invites,Keine Einladungen,No invites,Sin invitaciones,[ES_419] No invites,Kutseid pole,[EU] No invites,دعوتی موجود نیست,Ei kutsuja,No invites,Aucune invitation,[GA] No invites,[GL] No invites,Babu gayyata,אין הזמנות,कोई निमंत्रण नहीं,Nema pozivnica,[HU] No invites,Tidak ada undangan,Engar boðskrár,[IT] No invites,招待なし,초대가 없습니다,[LT] No invites,[LV] No invites,[MK] No invites,Tiada jemputan,[MT] No invites,[NL] No invites,[NO] No invites,Brak zaproszeń,[PT] No invites,[PT_BR] No invites,[RO] No invites,Нет приглашений,Žiadne pozvánky,Ni povabil,[SQ] No invites,[SR] No invites,[SV] No invites,ไม่มีคำเชิญ,Davet yok,Немає запрошень,کوئی دعوت نہیں,Chưa có lời mời,暂无邀请,無邀請
noInvoicesFoundCreateYourFirstInvoice,Translation key: noInvoicesFoundCreateYourFirstInvoice,,,,,,,,,,,,No invoices found. Create your first invoice!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noMediaSelected,Translation key: noMediaSelected,,,,,,,,,,,,No media selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noMessagesFound,Translation key: noMessagesFound,,,,,,,,,,,,No messages found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noMissingTranslations,Translation key: noMissingTranslations,,,,,,,,,,,,No missing translations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noNotifications,Translation key: noNotifications,,,,,,,,,,,,No notifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noOrganizations,Translation key: noOrganizations,noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),,No organizations,Sin organizaciones,noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),هیچ سازمانی وجود ندارد,noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),Aucune organisation,noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),Babu ƙungiyoyi,noOrganizations (TRANSLATE),कोई संगठन नहीं,noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),کوئی تنظیم نہیں,noOrganizations (TRANSLATE),noOrganizations (TRANSLATE),noOrganizations (TRANSLATE)
